long,lat
-82.08,29.59
-91.12,30.44
-79.99,32.78
-82.37,34.83
-80.83,35.19
-82.5,35.43
-80.84,35.49
-82.54,35.57
-82.54,35.57
-82.54,35.57
-82.54,35.57
-82.54,35.57
-78.79,35.78
-78.79,35.78
-78.79,35.78
-79.04,35.92
-84.29,37.57
-122.44,37.76
-78.48,38.03
-85.74,38.22
-122.7,38.31
-77.03,38.89
-77.03,38.89
-77.03,38.89
-77.03,38.89
-77.03,38.89
-77.0,38.98
-77.12,38.98
-77.08,38.98
-77.02,39.01
-77.15,39.08
-75.08,39.9
-75.6,39.95
-88.2,40.1
-88.2,40.1
-74.93,40.22
-76.5,40.33
-74.65,40.35
-74.65,40.35
-74.65,40.35
-74.65,40.35
-74.65,40.35
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.99,40.71
-73.99,40.71
-73.99,40.71
-73.72,40.93
-72.18,40.98
-82.21,41.29
-81.67,41.47
-81.67,41.47
-71.27,41.51
-72.61,41.76
-72.25,41.8
-71.41,41.82
-71.41,41.82
-71.41,41.82
-87.68,41.83
-87.68,41.83
-87.68,41.83
-122.53,42.15
-122.53,42.15
-73.35,42.19
-71.8,42.26
-72.68,42.26
-83.73,42.27
-72.67,42.32
-71.23,42.32
-72.58,42.35
-71.06,42.35
-72.71,42.35
-71.06,42.35
-71.06,42.35
-71.06,42.35
-71.11,42.37
-71.11,42.37
-72.52,42.37
-72.52,42.37
-71.11,42.37
-71.11,42.37
-71.11,42.37
-72.52,42.37
-72.52,42.37
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.03,42.39
-71.1,42.39
-71.1,42.39
-71.3,42.41
-71.1,42.42
-71.45,42.42
-71.1,42.42
-71.45,42.42
-71.1,42.42
-71.05,42.43
-76.5,42.44
-76.5,42.44
-76.5,42.44
-71.23,42.44
-76.5,42.44
-71.23,42.44
-71.35,42.45
-71.15,42.48
-71.46,42.48
-76.66,42.54
-72.59,42.58
-72.59,42.58
-72.59,42.58
-72.59,42.58
-72.3,42.59
-72.43,42.7
-72.43,42.7
-73.7,42.72
-72.72,42.86
-72.57,42.86
-71.96,42.87
-72.29,42.95
-72.45,42.96
-75.97,43.0
-75.97,43.0
-77.61,43.16
-77.94,43.21
-72.29,43.62
-72.3,43.72
-72.52,43.82
-79.03,43.87
-73.08,44.13
-72.57,44.26
-73.22,44.48
-73.22,44.48
-68.83,44.74
-75.71,45.41
-122.6,45.48
-97.01,47.93
-122.43,48.95
,
